epoch,loss,mae,val_loss,val_mae
0,0.00445951335132122,0.04786175861954689,0.017088506370782852,0.10130087286233902
1,0.0023747181985527277,0.035017360001802444,0.009825299493968487,0.07531657069921494
2,0.001873897504992783,0.03089568205177784,0.006731830071657896,0.06175629049539566
3,0.0016207055887207389,0.028453582897782326,0.005597198382019997,0.055886510759592056
4,0.001479960628785193,0.026992620900273323,0.004982453305274248,0.0521593801677227
5,0.0013976001646369696,0.026096902787685394,0.004801350645720959,0.05062521994113922
6,0.0013244948349893093,0.02524765208363533,0.004559365566819906,0.04890236258506775
7,0.0012804854195564985,0.024696173146367073,0.0043640900403261185,0.04744803160429001
8,0.0012340882094576955,0.02411162480711937,0.00433846702799201,0.047278352081775665
9,0.0012026518816128373,0.023705318570137024,0.004133347421884537,0.04585191234946251
10,0.001170661416836083,0.02327921986579895,0.004094153642654419,0.04566876217722893
11,0.0011472757905721664,0.022937647998332977,0.004051607102155685,0.045071717351675034
12,0.0011309785768389702,0.022711079567670822,0.004051015712320805,0.045515209436416626
13,0.0011131145292893052,0.022458594292402267,0.00404448714107275,0.04554973542690277
14,0.001093608676455915,0.022177744656801224,0.004126524552702904,0.04657185822725296
15,0.0010796594433486462,0.021975278854370117,0.00416674604639411,0.047112468630075455
16,0.0010662556160241365,0.021776866167783737,0.00424283416941762,0.04746784642338753
17,0.00105384923517704,0.02159103751182556,0.004299942869693041,0.04809332266449928
18,0.001038193702697754,0.021399758756160736,0.004383811727166176,0.0485018789768219
19,0.0010307789780199528,0.02124745585024357,0.00449690967798233,0.04950489476323128
20,0.0010194913484156132,0.021068304777145386,0.004643467720597982,0.05040162056684494
